fruit,day,image_path,freshness
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9218.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9219.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9220.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9221.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9222.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9223.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9224.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9225.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9226.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9227.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9228.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9229.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9230.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9231.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9232.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9233.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9234.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9235.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9236.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9237.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9238.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9239.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9240.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9241.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9242.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9243.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9244.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9245.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9247.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9248.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9249.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9250.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9251.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9252.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9253.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9254.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9255.jpg,1.0
Apple,1,D:\Projects\FreshGuard\data\Apple\Day 1\IMG_9256.jpg,1.0
